Date,Open,High,Low,Close,Volume,Prev_Close,MA5,MA10,MA50,Return,Target
2016-03-14,185.9169938557668,189.1429494864529,185.61985717654093,188.1666717529297,16726756.0,181.54493713378903,184.0832733154297,181.47704315185547,185.0137094116211,0.03647435573629232,187.91195678710935
2016-03-15,189.1429229299934,190.88323766753103,187.19036773709385,187.91195678710935,13475557.0,188.1666717529297,184.8473114013672,184.13421020507812,184.30654510498047,-0.0013536667436770955,192.1990966796875
2016-03-16,186.68101551558607,193.0480300512249,185.53495973874303,192.1990966796875,17144832.0,187.91195678710935,186.55367126464844,185.9551773071289,183.81161560058592,0.022814620026734955,193.34515380859372
2016-03-17,195.25526089169375,200.56110123443187,190.96813197738277,193.34515380859372,32391146.0,192.1990966796875,188.63356323242186,186.61310119628905,183.3200811767578,0.005962864283468594,195.42503356933597
2016-03-18,193.72716698674415,196.48620730800923,191.98685231467692,195.42503356933597,18370981.0,193.34515380859372,191.40958251953126,187.64879913330077,182.98220428466797,0.01075734105444015,199.37261962890625
2016-03-21,196.5711308285001,200.0093268104927,196.4862346377407,199.37261962890625,14818419.0,195.42503356933597,193.65077209472656,188.8670227050781,182.78015716552736,0.020200001952000113,198.3114471435547
2016-03-22,199.16038055892776,199.16038055892776,195.7646468974354,198.3114471435547,12269251.0,199.37261962890625,195.7306701660156,190.28899078369142,182.58575073242187,-0.005322558771243213,198.82080078125
2016-03-23,196.4862268731672,199.49995603137788,195.9344159041461,198.82080078125,16987529.0,198.3114471435547,197.0550109863281,191.8043411254883,182.49661193847658,0.002568453031995599,191.3926239013672
2016-03-28,198.6510203760724,198.6510203760724,190.07677566463616,191.3926239013672,20214214.0,198.82080078125,196.6645050048828,192.64903411865234,182.30475280761718,-0.03736116568635883,189.6522979736328
2016-03-29,189.5674017860269,192.66601288988448,188.80336459579036,189.6522979736328,20447782.0,191.3926239013672,195.50995788574218,193.45977020263672,182.03139526367187,-0.009092962373676627,201.622314453125
2016-03-30,193.98188462575737,202.8957146746496,192.5387062574956,201.622314453125,23016348.0,189.6522979736328,195.95989685058595,194.80533447265626,182.0611087036133,0.06311558893505409,200.90072631835935
