Date,Open,High,Low,Close,Volume,Prev_Close,MA5,MA10,MA50,Return,Target
2016-03-14,407.4961374479969,412.0336243356394,403.1050153414004,405.3981628417969,6963673.0,402.812255859375,403.9539794921875,397.9381439208984,393.49725219726565,0.0064196333274542106,408.7159423828125
2016-03-15,407.3985996377235,411.5457710112812,406.0324785528634,408.7159423828125,8188560.0,405.3981628417969,405.3396301269531,402.14386291503905,392.8912780761719,0.008184002408295088,414.3268127441406
2016-03-16,408.8622987383361,416.0344715097542,401.05585866695975,414.3268127441406,8290044.0,408.7159423828125,406.8521301269531,405.3249938964844,392.62195739746096,0.013728043806211065,417.7908630371094
2016-03-17,419.5961080625211,424.47513257487606,415.2049860014017,417.7908630371094,11080947.0,414.3268127441406,409.8088073730469,407.3644226074219,392.4599725341797,0.008360671302023448,425.5485229492188
2016-03-18,419.54732876860135,427.0122302995743,418.7178886475594,425.5485229492188,6675930.0,417.7908630371094,414.35606079101564,409.21356811523435,392.5653594970703,0.01856828523179166,433.7453002929688
2016-03-21,428.37837306774645,434.7211052430092,427.3049816668612,433.7453002929688,8910574.0,425.5485229492188,420.02548828125,411.98973388671874,393.2533020019531,0.019261674995234568,430.5739440917969
2016-03-22,436.1848226833614,436.77031162266985,423.7920876216154,430.5739440917969,8004834.0,433.7453002929688,424.3970886230469,414.868359375,393.79097045898436,-0.007311563258506459,426.9147033691406
2016-03-23,428.6223621826172,430.5739722551618,424.57277723792834,426.9147033691406,5018310.0,430.5739440917969,426.9146667480469,416.8833984375,394.18714782714846,-0.008498518716395287,412.6678466796875
2016-03-28,427.25614044736426,427.98799405218017,409.64284582394185,412.6678466796875,9200929.0,426.9147033691406,425.8900634765625,417.8494354248047,394.51501708984375,-0.03337167021191656,419.0594177246094
2016-03-29,413.64368277183576,422.4259266938671,412.1799754514972,419.0594177246094,6674980.0,412.6678466796875,424.5922424316406,419.4741516113281,394.9590081787109,0.015488415432285851,433.5013427734375
2016-03-30,422.8162668136546,434.9162718421734,421.64531875809695,433.5013427734375,9551121.0,419.0594177246094,424.5434509277344,422.2844696044922,396.0060467529297,0.03446271444570859,433.40374755859375
2016-03-31,432.9646532138414,438.1364073578318,427.597726174937,433.40374755859375,12671936.0,433.5013427734375,425.1094116210937,424.7532501220703,397.3702215576172,-0.00022513243954302986,439.0146484375
2016-04-01,430.2324037397003,441.0638448228274,429.4029635624006,439.0146484375,8827751.0,433.40374755859375,427.52940063476564,427.22203369140624,398.86710571289063,0.012946129124431938,433.9892578125
2016-04-04,440.5759413206155,440.6247196571421,431.4033806133029,433.9892578125,5347581.0,439.0146484375,431.79368286132814,428.8418731689453,399.87706298828124,-0.011446977094923594,422.1332092285156
2016-04-05,432.671890325029,438.624306220683,420.5719154196093,422.1332092285156,12100258.0,433.9892578125,432.4084411621094,428.500341796875,400.75528747558593,-0.027318760477492376,414.3755798339844
2016-04-06,422.8162869761818,425.7437019234784,412.8630940228964,414.3755798339844,7457831.0,422.1332092285156,428.5832885742187,426.56336975097656,401.0577868652344,-0.0183772070638768,416.3271789550781
2016-04-07,417.40057036363663,421.35256852787023,414.6195202803,416.3271789550781,5374072.0,414.3755798339844,425.1679748535156,425.13869323730466,401.1065771484375,0.004709734878381777,411.3993835449219
2016-04-08,416.3759948748242,417.01026215293234,409.8868679656746,411.3993835449219,6881318.0,416.3271789550781,419.644921875,423.5871612548828,401.1212139892578,-0.01183635289563445,419.4009704589844
2016-04-11,413.6437270058283,421.4501668824344,407.3985810603843,419.4009704589844,6221772.0,411.3993835449219,416.7272644042969,424.2604736328125,401.4022467041016,0.019449681341559,423.5481262207031
2016-04-12,420.0840305632798,425.8900819217709,419.010639163491,423.5481262207031,5586212.0,419.4009704589844,417.0102478027344,424.7093444824219,401.9565032958984,0.00988828365652128,429.8421325683594
2016-04-13,429.4030083759596,434.5259849843226,427.5002063603778,429.8421325683594,9091282.0,423.5481262207031,420.1035583496094,424.3434234619141,402.5829718017578,0.014860191694902047,434.4771423339844
2016-04-18,434.1844127685175,435.2577743613648,426.8170677261016,434.4771423339844,6674315.0,429.8421325683594,423.7335510253906,424.4507629394531,403.479736328125,0.010783051298229429,447.9920349121094
2016-04-20,435.3065712300543,449.5045205932889,433.59891265747,447.9920349121094,10775664.0,434.4771423339844,431.0520812988281,425.34850158691404,404.8107342529297,0.031106107229309732,456.6279296875
2016-04-21,452.5783153976994,461.3117814478434,451.79768336404334,456.6279296875,11717618.0,447.9920349121094,438.4974731445312,427.61236877441405,406.51644104003907,0.0192768935659422,464.3368225097656
2016-04-22,454.33482110243614,466.9226998445999,450.9195035487139,464.3368225097656,7323373.0,456.6279296875,446.65521240234375,431.8327301025391,408.33339050292966,0.016882219244760854,458.5307312011719
2016-04-25,462.5315373748115,465.8004898500733,453.7492929942771,458.5307312011719,7474910.0,464.3368225097656,452.39293212890624,436.2482452392578,409.70634765625,-0.012504050997315996,468.5815734863281
2016-04-26,458.7259370184006,473.16783912442935,452.4319828489999,468.5815734863281,12685893.0,458.5307312011719,459.213818359375,441.4736846923828,411.10467712402345,0.021919669939737707,454.2372131347656
2016-04-27,450.138820352695,462.0436528878873,446.96745420298936,454.2372131347656,29544825.0,468.5815734863281,460.4628540039063,445.75746765136716,412.3849334716797,-0.03061230138615556,456.72552490234375
2016-04-28,451.7977214932039,460.4336018231592,450.3827923111865,456.72552490234375,16457436.0,454.2372131347656,460.482373046875,449.48992309570315,413.8379064941406,0.005478000691325757,460.9702758789063
2016-04-29,455.45698358672377,465.8981089946629,453.7981031756364,460.9702758789063,10883473.0,456.72552490234375,459.80906372070314,453.2321380615234,415.69583984375,0.00929387727447506,460.384765625
2016-05-02,462.8730861265168,467.41057320913626,457.1158428507627,460.384765625,9439328.0,460.9702758789063,460.17987060546875,456.2864013671875,417.27078918457033,-0.0012701692159867717,459.16497802734375
2016-05-03,462.4339303572055,463.5073216895902,455.0178072543317,459.16497802734375,8097969.0,460.384765625,458.2965515136719,458.75518493652345,418.3031896972656,-0.0026494960058035533,451.260986328125
2016-05-04,454.7250817992496,458.6283013855092,449.1142036440013,451.260986328125,8777977.0,459.16497802734375,457.70130615234376,459.082080078125,419.40877624511717,-0.017213838331433196,449.8948669433594
2016-05-05,451.7976985356989,455.99364797110906,447.3577978591789,449.8948669433594,8736141.0,451.260986328125,456.3351745605469,458.4087738037109,420.5397332763672,-0.003027337674106567,450.2852478027344
2016-05-06,449.8461236228732,452.8223170844005,447.89451354207984,450.2852478027344,4804806.0,449.8948669433594,454.1981689453125,457.0036163330078,421.77705444335936,0.0008677157444076933,465.5565490722656
2016-05-09,454.52993523489295,466.4347675742005,450.4803506354347,465.5565490722656,10228014.0,450.2852478027344,455.23252563476564,457.70619812011716,423.42811706542966,0.03391472704036147,476.14404296875
2016-05-10,467.4105766499349,477.1686262668438,466.5811364766568,476.14404296875,12131886.0,465.5565490722656,458.6283386230469,458.4624450683594,425.20017883300784,0.02274158513629021,486.14599609375
2016-05-11,470.9234342301613,487.2681657336733,468.6302868395,486.14599609375,21878712.0,476.14404296875,465.6053405761719,461.6533233642578,427.406474609375,0.021006149867250246,480.6327209472656
2016-05-12,486.5363588204659,494.63552807359855,478.7299191435365,480.6327209472656,13528266.0,486.14599609375,471.75291137695314,464.04404296875,429.47322937011717,-0.011340780734150457,478.7786560058594
2016-05-13,481.7548787423973,484.1943909301161,474.7290717300865,478.7786560058594,7426191.0,480.6327209472656,477.45159301757815,465.8248809814453,431.6678131103516,-0.003857550392641018,474.6802673339844
2016-05-16,480.0959721816709,481.7060441813182,465.7028510644358,474.6802673339844,5809867.0,478.7786560058594,479.2763366699219,467.2544311523437,433.6213739013672,-0.008560090598159098,491.1714782714844
2016-05-17,478.82755033481976,493.2694531748436,478.4372044911378,491.1714782714844,8982435.0,474.6802673339844,482.2818237304688,470.4550811767578,436.11162841796875,0.03474172421390498,488.9758911132813
2016-05-18,486.4387921592176,490.8299146561413,483.2674259114393,488.9758911132813,8241793.0,491.1714782714844,482.847802734375,474.22657165527346,438.24083618164065,-0.004470103121479552,478.63232421875
2016-05-19,489.6101298200975,489.6101298200975,477.168616805237,478.63232421875,5989236.0,488.9758911132813,482.4477233886719,477.1003173828125,439.86555114746096,-0.021153531457310693,478.7298889160156
2016-05-20,481.99884128016544,483.7064998516704,476.2903766710086,478.7298889160156,5012902.0,478.63232421875,482.43796997070314,479.9447814941406,441.2990075683594,0.000203840593977489,474.7291259765625
2016-05-23,483.41378440138215,483.41378440138215,473.2654184966759,474.7291259765625,4700955.0,478.7298889160156,482.44774169921874,480.86203918457034,442.6739172363281,-0.008357036049100763,477.1198425292969
2016-05-24,471.55774239894185,479.07145243058585,470.33798621063625,477.1198425292969,4838908.0,474.7291259765625,479.6374145507813,480.959619140625,444.18056030273436,0.005035959291135539,490.00048828125
2016-05-25,482.0476832681929,490.8299285099211,481.413415956576,490.00048828125,7144175.0,477.1198425292969,479.842333984375,481.345068359375,445.84528381347656,0.026996667511605787,506.4427795410156
2016-05-26,490.3419975324862,510.3459994218712,488.14643634950494,506.4427795410156,11207975.0,490.00048828125,485.4044250488281,483.92607421875,447.91398986816404,0.033555663010539805,500.0025024414063
