Date,Open,High,Low,Close,Volume,Prev_Close,MA5,MA10,MA50,Return,Target
2016-03-14,236.3284155154205,238.6158242653281,235.69621401477127,236.2249755859375,3008656.0,236.48931884765625,235.24561767578126,232.55933990478516,234.80515258789063,-0.0011177809763537327,236.029541015625
2016-03-15,236.30542759399225,237.5698305718089,234.8686060282915,236.029541015625,7690036.0,236.2249755859375,235.82264404296876,233.82029418945314,234.5198568725586,-0.0008273239094542806,236.89161682128903
2016-03-16,236.09850259955465,237.76521549521848,234.24787936307496,236.89161682128903,4803548.0,236.029541015625,236.08241271972656,234.8846878051758,234.33571258544922,0.003652406397752328,234.1214599609375
2016-03-17,237.92614664779708,238.8572182521004,232.4547469365605,234.1214599609375,5113484.0,236.89161682128903,235.95138244628907,235.1421661376953,234.133408203125,-0.011693773285533116,236.4203643798828
2016-03-18,235.16745321567387,237.24796795784945,233.4202698389687,236.4203643798828,4135068.0,234.1214599609375,235.93759155273438,235.43067932128906,233.9554721069336,0.009819281066028251,240.37448120117188
2016-03-21,237.47785470410267,240.77679121640148,237.30543612614716,240.37448120117188,5318796.0,236.4203643798828,236.76749267578126,236.00655517578124,233.9067352294922,0.01672494174374739,242.2711181640625
2016-03-22,240.58142148527895,242.9033197016492,239.24803974447212,242.2711181640625,4120264.0,240.37448120117188,238.01580810546875,236.91922607421876,233.86765411376953,0.007890342408283013,241.2366180419922
2016-03-23,242.08723335263207,242.08723335263207,239.2135898631555,241.2366180419922,8464300.0,242.2711181640625,238.8848083496094,237.48361053466797,233.82512481689454,-0.004270010102358834,240.8112945556641
2016-03-28,240.2365659290396,242.07569753423795,239.466435181947,240.8112945556641,11270868.0,241.2366180419922,240.2227752685547,238.0870788574219,233.82765380859374,-0.001763096704721967,242.25961303710935
2016-03-29,240.81128572595227,243.56998303259803,240.0641385387357,242.25961303710935,6733952.0,240.8112945556641,241.390625,238.6641082763672,233.79845703125,0.006014329535986462,244.8228912353516
2016-03-30,243.22515686485775,245.9608707635402,242.2826075217276,244.8228912353516,7814380.0,242.25961303710935,242.28030700683593,239.5238998413086,233.86834381103515,0.01058070788650034,246.2482452392578
2016-03-31,245.2597007270657,248.0299040705202,244.84591293304223,246.2482452392578,20080392.0,244.8228912353516,243.075732421875,240.54577026367187,234.0016812133789,0.005821980112701075,244.7079620361328
2016-04-01,245.7080123728792,247.45518191815623,242.9493147552028,244.7079620361328,5158648.0,246.2482452392578,243.77000122070314,241.32740478515626,234.17915771484374,-0.006255001742767496,245.76548767089844
2016-04-04,244.8803830594669,246.6275806849497,244.60452452014,245.76548767089844,6179960.0,244.7079620361328,244.76083984375,242.49180755615234,234.33203552246093,0.004321582452676775,243.0987091064453
2016-04-05,245.75396665042837,247.57011476679045,242.68492132308452,243.0987091064453,6663028.0,245.76548767089844,244.92865905761718,243.1596420288086,234.51204040527344,-0.01085090746355799,244.0297698974609
2016-04-06,243.9148241744758,245.2826670528308,242.9377855291021,244.0297698974609,4295376.0,243.0987091064453,244.77003479003906,243.5251708984375,234.68905700683592,0.0038299701155875,242.65045166015625
2016-04-07,244.6045291960268,244.77694780213295,240.70787992319583,242.65045166015625,3911692.0,244.0297698974609,244.05047607421875,243.56310424804687,234.80492248535157,-0.005652253976571098,243.5355529785156
2016-04-08,242.53553057404216,244.4551189712134,242.3631119504113,243.5355529785156,2962796.0,242.65045166015625,243.8159942626953,243.79299774169922,234.888603515625,0.003647639278244519,246.20225524902344
2016-04-11,243.7539335769005,246.9264189823361,239.74231064178005,246.20225524902344,4049620.0,243.5355529785156,243.90334777832032,244.33209381103515,235.0509066772461,0.010949950583778234,244.3745574951172
2016-04-12,245.89183511815767,246.21368868981236,243.51246474760384,244.3745574951172,4941480.0,246.20225524902344,244.15851745605468,244.54358825683593,235.1948178100586,-0.007423562193033528,248.68505859375
2016-04-13,246.44361711347352,249.42069995698077,245.86888852878727,248.68505859375,4974604.0,244.3745574951172,245.0895751953125,244.92980499267577,235.34148864746095,0.01763891111585525,250.07591247558597
2016-04-18,249.08736808680655,251.04144527069016,246.35165441678572,250.07591247558597,4117068.0,248.68505859375,246.57466735839844,245.31257171630858,235.47045776367187,0.005592832515555646,252.38629150390625
2016-04-20,251.0184487710252,252.88056367275928,249.09886101391095,252.38629150390625,3821352.0,250.07591247558597,248.34481506347657,246.08040466308594,235.67299133300781,0.009238710779655213,250.8460693359375
2016-04-21,251.73114583427727,254.06454973929812,250.35179708997987,250.8460693359375,8191728.0,252.38629150390625,249.27357788085936,246.58846282958984,235.89046905517577,-0.006102637979229941,251.07591247558597
2016-04-22,250.4666946181764,253.0759565447544,249.47815031649927,251.07591247558597,7809320.0,250.8460693359375,250.6138488769531,247.3861831665039,236.08794525146484,0.0009162716412376426,251.3288116455078
2016-04-25,252.88057883380617,252.88057883380617,249.3172615866025,251.3288116455078,5561960.0,251.07591247558597,251.1425994873047,248.1160873413086,236.2626626586914,0.0010072617776364368,256.0645751953125
2016-04-26,251.73112715773817,256.3289559642722,251.15639855692143,256.0645751953125,7053796.0,251.3288116455078,252.34033203125,249.4574996948242,236.62129272460936,0.01884289954183349,258.4439392089844
2016-04-27,255.14500273943864,258.62786358158786,254.94960063287195,258.4439392089844,5763636.0,256.0645751953125,253.55186157226564,250.9483383178711,237.07256866455077,0.009292046788811126,256.0875549316406
2016-04-28,258.44394216006856,261.317585121566,255.2599513713133,256.0875549316406,8089584.0,258.4439392089844,254.60015869140625,251.9368682861328,237.53694885253907,-0.009117583815491659,260.31756591796875
2016-04-29,256.0530965527872,261.1566752847688,254.30589916216587,260.31756591796875,5611940.0,256.0875549316406,256.4484893798828,253.53116912841796,238.25903717041015,0.016517831127940807,256.9382019042969
2016-05-02,259.26010009213843,259.77735588926305,256.55887537382085,256.9382019042969,3862716.0,260.31756591796875,257.57036743164065,254.35648345947266,238.9314700317383,-0.01298169795708981,257.01861572265625
2016-05-03,257.9151979017143,260.9267699867753,255.90364791282948,257.01861572265625,4695296.0,256.9382019042969,257.76117553710935,255.05075378417968,239.59539581298827,0.0003129694913539538,259.1680908203125
2016-05-04,256.903665910109,260.81182011187354,256.15651878330107,259.1680908203125,5292328.0,257.01861572265625,257.906005859375,255.72893371582032,240.30300109863282,0.008363110553734066,260.3060913085937
2016-05-05,259.31754688166046,260.8693141169896,258.0991110124562,260.3060913085937,5214248.0,259.1680908203125,258.7497131347656,256.67493591308596,241.02669921875,0.004390974539647985,257.3979797363281
2016-05-06,260.2371336650541,260.2946065302628,256.84623461774,257.3979797363281,2733152.0,260.3060913085937,258.1657958984375,257.30714263916013,241.62533660888673,-0.011171892127633698,262.3981018066406
2016-05-09,257.4784192547252,263.21419960134745,257.248527808962,262.3981018066406,6953180.0,257.3979797363281,259.2577758789063,258.41407165527346,242.3246664428711,0.01942564613535236,263.2027587890625
2016-05-10,262.8809051072601,263.80047101931,261.17970255738294,263.2027587890625,5453000.0,262.3981018066406,260.4946044921875,259.1278900146484,243.04261810302734,0.0030665503175584252,261.80035400390625
2016-05-11,260.8577767543167,263.22566954834633,259.70831968205323,261.80035400390625,6147372.0,263.2027587890625,261.02105712890625,259.4635314941406,243.8185012817383,-0.005328229808868268,264.168212890625
2016-05-12,262.9957723154384,264.8349035903715,260.352021107722,264.168212890625,4221688.0,261.80035400390625,261.7934814453125,260.27159729003904,244.73576721191407,0.009044521332784106,262.2831420898437
2016-05-13,263.91536565509193,263.91536565509193,259.7773198521376,262.2831420898437,5045316.0,264.168212890625,262.7705139160156,260.46815490722656,245.64728637695313,-0.007135872935483678,267.3177795410156
2016-05-16,263.22570065500986,268.0304373974539,260.3635634320077,267.3177795410156,4518768.0,262.2831420898437,263.75444946289065,261.50611267089846,246.57512817382812,0.019195429073544323,265.16827392578125
2016-05-17,267.8350371171561,268.80056995339856,264.6740297732526,265.16827392578125,4295424.0,267.3177795410156,264.1475524902344,262.3210784912109,247.41009368896485,-0.008041012531695646,262.22576904296875
2016-05-18,264.6051406727485,264.6051406727485,260.1222560132189,262.22576904296875,4162644.0,265.16827392578125,264.2326354980469,262.62684631347656,248.12965545654296,-0.011096745622125592,261.9153747558594
2016-05-19,262.099271102362,262.6969833386138,260.2371557243399,261.9153747558594,3855796.0,262.22576904296875,263.7820678710938,262.78777465820315,248.73702941894533,-0.0011836910164939596,262.2831420898437
2016-05-20,262.0647283902697,264.0303113718407,260.60492340014457,262.2831420898437,2016632.0,261.9153747558594,263.7820678710938,263.2762908935547,249.31198760986328,0.0014041456494378046,261.3291015625
2016-05-23,262.5245258580047,264.3636574282708,260.51297570302614,261.3291015625,3463532.0,262.2831420898437,262.58433227539064,263.1693908691406,249.84625518798828,-0.0036374450898445376,262.0647888183594
2016-05-24,261.70847385202904,262.9154041561902,261.0532887280696,262.0647888183594,3259468.0,261.3291015625,261.96363525390626,263.0555938720703,250.4246627807617,0.0028151753917211586,269.7316589355469
2016-05-25,263.5245895686499,270.3408488489972,263.5245895686499,269.7316589355469,5767348.0,262.0647888183594,263.4648132324219,263.8487243652344,251.10744049072267,0.029255628548028767,272.01904296875
2016-05-26,270.3753135807792,273.31793520104526,268.1108885377601,272.01904296875,13705560.0,269.7316589355469,265.485546875,264.63380737304686,251.85228912353514,0.00848022083217792,272.83514404296875
