Date,Close,High,Low,Open,Volume
,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
2016-01-01,728.6409301757812,733.2770892098066,726.0463986549535,731.5757502557235,230366
2016-01-04,730.7250366210938,738.9765404339087,724.0473023981498,728.640886144138,828876
2016-01-05,721.3248901367188,730.7672965932113,719.2407404101675,729.2786256343494,1118709
2016-01-06,717.15673828125,723.0689002616538,715.3703535312499,723.0689002616538,2135092
2016-01-07,697.7615966796875,715.3704641821163,695.4222557581769,714.5623178432643,1353969
2016-01-08,688.9146118164062,707.3316256024947,687.0857037084236,696.6982578093123,1324046
2016-01-11,690.5308227539062,697.2936542540293,681.6838410288638,685.6394741480117,1514504
2016-01-12,697.2936401367188,699.3777903194429,684.4059793894677,687.7661335305044,1110037
2016-01-13,708.3947143554688,711.3295332229833,692.2320009687934,699.0798770458454,1338356
2016-01-14,703.7162475585938,712.7758972619138,696.3154135373837,705.6302536716271,1531002
2016-01-15,684.15087890625,705.1624238990204,660.6724237556001,703.7162755053719,3249884
2016-01-18,688.999755859375,694.6992517607583,676.2822367464717,677.3880966865622,1525578
2016-01-19,689.4248657226562,699.0374173291643,687.0430023392063,691.5940618054282,867289
2016-01-20,676.324462890625,693.295321953257,667.7752487525237,684.7886308863459,1543575
2016-01-21,659.7791748046875,679.6848598024935,658.5882687810072,678.15366524591,1679165
2016-01-22,656.2915649414062,666.4995996520956,655.0155606025701,663.9475909744233,1465143
2016-01-25,666.329345703125,667.5628267451648,654.7602623698167,656.7167916499104,1036869
2016-01-27,653.2289428710938,666.7970759764411,651.9529389862726,664.3726893635732,1291178
2016-01-28,673.5173950195312,677.983408690327,652.0379959361802,654.8451941451054,1967418
2016-01-29,694.9118041992188,697.5488583833492,672.9644937037392,672.9644937037392,1733695
2016-02-01,681.3436889648438,695.3372114441945,679.6848731955499,694.1462534763062,1025869
2016-02-02,680.6205444335938,688.9996689084196,677.9409670616197,688.6168573064981,960236
2016-02-03,698.9098510742188,704.7794898022405,676.7074039078844,676.7074039078844,1843081
2016-02-04,710.138671875,713.2011122944875,694.6139582295407,701.376789078421,1698770
2016-02-05,718.7730712890625,727.747622467785,706.0555542352561,706.0555542352561,2043434
2016-02-08,705.1197509765625,721.537656858576,703.0356009627745,717.9648356807581,490426
2016-02-09,702.9505615234375,716.3911781192725,701.5469883184248,702.9505615234375,964658
2016-02-10,701.41943359375,707.8419770899408,697.6339444324491,702.652914590678,781041
2016-02-11,682.7472534179688,704.3542773812951,673.0496532151635,700.8665535393701,1010277
2016-02-12,691.2537841796875,694.7415591178577,676.2820267458076,680.9607074339862,1318480
2016-02-15,684.53369140625,699.2077388744136,678.8341959185252,694.9969148689663,1206980
2016-02-16,683.2576904296875,690.6159497807213,680.0676800958095,689.0422321176379,926079
2016-02-17,691.2114868164062,692.4449679665892,671.8162327415403,680.9609298000671,783633
2016-02-18,703.8439331054688,706.480987667417,691.168937362765,692.4874646437391,1179011
2016-02-19,704.0138549804688,707.6291993158146,691.976916169344,707.6291993158146,620200
2016-02-22,732.979248046875,736.6796388594569,702.95057919881,703.5035350309132,1883688
2016-02-23,711.8826293945312,730.2571186261,709.6283867548584,730.2571186261,590731
2016-02-24,711.7975463867188,718.7305220436313,704.524334157652,711.9251675517355,1062120
