Date,Close,High,Low,Open,Volume
,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS
2016-01-01,141.49603271484375,141.89843643655533,137.78973027060536,139.78054932556196,1001091
2016-01-04,139.86524963378906,142.78793083647273,138.72158558960385,141.03008737538116,1402242
2016-01-05,138.00148010253906,141.00888153818568,137.36611414824276,141.00888153818568,3789711
2016-01-06,138.89102172851562,140.20411420517436,137.45086120718756,137.74737054682387,3950971
2016-01-07,138.25563049316406,139.67461705768093,137.34494186793947,138.42505883074364,2845034
2016-01-08,136.0106964111328,139.5687437421621,134.2740266047508,138.93337768567275,3587538
2016-01-11,133.82925415039062,135.12115975485486,131.7325413284008,135.12115975485486,3136079
2016-01-12,133.8504638671875,134.57055064722235,132.24087485206562,133.8292901669452,2704456
2016-01-13,134.4010772705078,135.75652985307897,132.749128322505,134.69758656249334,1860750
2016-01-14,134.97291564941406,136.32836829642412,131.56312326224662,133.06681763574306,1469470
2016-01-15,134.93057250976562,135.96834228662556,134.35875337410414,135.50240457198322,1925285
2016-01-18,131.6690216064453,136.85784413502466,131.05482927937928,133.63865369524814,1736472
2016-01-19,130.82186889648438,132.1561349816613,127.92036142455676,131.7749179468329,3268371
2016-01-20,126.28958892822266,134.0834098674765,123.684590715921,129.52995318872254,3609992
2016-01-21,122.07499694824219,127.9838932009762,121.35491028552464,127.96271950418355,4600455
2016-01-22,126.84026336669922,128.17452965204282,122.49859481932975,123.26102900336697,8008963
2016-01-25,129.1487274169922,129.7417331032563,126.84023868715067,127.9203557254691,3162445
2016-01-27,128.78866577148438,129.40285799313668,126.26838873180495,129.0640013424991,3860574
2016-01-28,129.8688507080078,132.89742693573362,127.53917469797902,128.13218055158382,8121506
2016-01-29,135.52359008789062,137.45086202735908,129.23346330810705,129.59350667222643,4782044
2016-02-01,139.1663055419922,139.78049774817325,132.00785233353255,136.26481161179467,3208370
2016-02-02,135.10000610351562,140.88183456612427,134.06223638583097,138.7215874134586,3045611
2016-02-03,134.37989807128906,137.36611285780748,133.3421285183993,134.2740037465678,4106124
2016-02-04,136.60366821289062,136.98488516677892,134.6340365123408,134.6763968242289,3572599
2016-02-05,138.19212341308594,142.83030100171078,134.69760994746767,136.98492526692476,6271759
2016-02-08,136.96372985839844,139.67462213793303,136.30717725238628,138.5097845006948,2378719
2016-02-09,130.9912872314453,136.8154754268612,130.48298927286012,135.71417180096267,3673347
2016-02-10,132.8973846435547,133.95632794748738,127.96271143253907,129.23344339725833,3126063
2016-02-11,129.23342895507812,132.89736979191935,125.27297885564985,132.11374924927003,4387964
2016-02-12,128.2803955078125,131.77490844032243,127.28498620839278,130.927753790017,4767172
2016-02-15,137.34498596191406,140.09823934280055,129.78412601524502,130.2712374896288,5228881
2016-02-16,134.65518188476562,138.38266879557636,132.79144489263504,138.0861596012728,2434947
2016-02-17,132.49501037597656,135.1211955222672,129.82647782938838,134.71879180698565,2497160
2016-02-18,134.5281219482422,135.1634877512787,133.00324143564447,133.3420980266438,1809851
2016-02-19,132.26202392578125,134.2528425870393,131.35133523346067,133.85043894490593,3183958
2016-02-22,132.9609375,133.85045258667833,131.39370894400088,132.4102920745379,2820180
2016-02-23,127.53917694091797,133.00332363885877,126.94617107688441,132.96096330716531,3468668
2016-02-24,125.06117248535156,127.47556777677288,123.98105575982402,127.47556777677288,2928473
2016-02-25,126.81906127929688,130.4194689040436,125.04004409123763,125.37890081470927,14688967
2016-02-26,131.92315673828125,132.51616237963526,127.7085573852928,127.94151973228969,6359697
2016-02-29,131.73251342773438,134.57048592943445,129.72052166316286,134.27397670929838,6433602
2016-03-01,134.63406372070312,135.0576410720808,131.1183639483355,132.02906559504143,3958446
2016-03-02,131.73251342773438,135.54470835008038,131.26657590747084,134.69755392289238,4195722
2016-03-03,133.045654296875,134.2951997805123,131.30898449724552,133.3421506994839,4070260
2016-03-04,137.72616577148438,138.72157507873422,133.2362435042359,133.469218790835,6405159
2016-03-08,137.26023864746094,141.05126119864727,136.54016488976734,140.62768383769037,13626475
2016-03-09,136.60366821289062,138.12854895499615,136.3918795800024,137.23903411155524,6614341
2016-03-10,136.2648468017578,138.12858466772735,135.587120415981,137.66264696959607,8652210
2016-03-11,135.0788116455078,137.93795870119305,134.14694924995797,136.81548133130903,11276463
2016-03-14,137.48846435546875,138.55426070424323,135.3105154703646,135.72756560068476,9036862
2016-03-15,137.00186157226562,138.41521585943238,136.7933436273943,138.368873824482,4471379
2016-03-16,137.00186157226562,137.58110165513637,136.00557145804868,137.34940562198807,3600579
2016-03-17,136.35313415527344,138.1835387241105,135.98242610818,137.7201465944409,3428625
2016-03-18,137.97500610351562,138.46156218124352,136.14460154138598,137.1640698795655,4585864
2016-03-21,137.44210815429688,138.32255037020826,136.70067792030633,137.743310209529,2804720
2016-03-22,136.42262268066406,138.8786091384443,136.02873659255175,137.39574885670515,5604065
2016-03-23,138.0908660888672,138.32256217290893,136.65434753948716,137.1409178009388,2712299
2016-03-28,136.00559997558594,138.32256079288723,135.40319581973023,138.32256079288723,4199915
2016-03-29,136.77017211914062,137.81280431846906,135.79704590477988,136.21411009779467,2231442
2016-03-30,137.55796813964844,137.88233417285159,136.88604383823085,136.9787279286356,3076806
2016-03-31,135.287353515625,138.02136456765294,134.84712528502757,138.02136456765294,8788685
2016-04-01,132.99354553222656,136.1214425090298,132.36796330854472,135.3105062557845,4021684
2016-04-04,132.0667724609375,133.89717724467056,131.60338027686402,133.64230305846584,3745464
2016-04-05,127.54872131347656,132.04363195373796,127.01582303549334,131.83509977723554,4975193
2016-04-06,127.71088409423828,129.7034647563309,126.96945379848056,127.89623813277605,6518559
2016-04-07,130.3290252685547,130.56072131347656,128.0352287671864,128.45229296132922,3137807
2016-04-08,129.564453125,131.13998366938503,129.00837686622563,130.5607434588312,3567115
2016-04-11,129.9582977294922,130.95458774466124,128.45227366375224,129.84244972443526,6696441
2016-04-12,127.15478515625,129.98147969997126,125.88045692389734,129.95831575238833,9281615
2016-04-13,128.56817626953125,128.9620483407138,127.43285968118289,128.012099952461,9314286
2016-04-18,127.80355834960938,129.0778868522098,127.06214217047302,128.22062262738248,7530454
2016-04-20,129.1242218017578,130.67658835701525,127.96574140852185,128.7303356397363,8438851
2016-04-21,133.341064453125,133.80445651030354,129.65709194191427,129.7497760099913,6341547
2016-04-22,133.36428833007812,133.75817458400365,132.0667956435572,133.75817458400365,3616133
2016-04-25,133.4337921142578,134.80079064457337,132.90087976111644,133.73499422150647,2987563
2016-04-26,133.595947265625,134.33737751217586,132.76184707675887,133.03988518691614,1972410
2016-04-27,134.80076599121094,136.00558834146665,133.48009561,133.92032378427209,2654547
2016-04-28,132.08995056152344,136.07512659972497,131.44120426265545,135.10200008061864,5733507
2016-04-29,133.48011779785156,134.22154814753117,131.71923309126922,132.0667772419058,3886257
2016-05-02,133.7581329345703,133.92032300528533,132.80818474290504,133.78131102558976,1741094
2016-05-03,129.35592651367188,134.03619044302908,128.59133223142808,133.92034239597376,4658529
2016-05-04,129.7266387939453,130.42172702293604,126.22801955639491,128.73033435244028,6641861
2016-05-05,130.58387756347656,131.20945967620875,129.7497775075693,129.9814735388328,2845968
2016-05-06,130.63023376464844,130.885107911641,128.59131129673295,130.32903171966177,3358599
2016-05-09,132.3448028564453,132.76185296938914,130.74609425828658,130.74609425828658,2147251
2016-05-10,132.02040100097656,132.85451523143823,131.13995887571483,132.85451523143823,3178150
2016-05-11,131.51065063476562,131.7886886772328,128.19740049450414,130.53753869853387,4069757
2016-05-12,131.53387451171875,131.9972666966171,130.67659614133535,131.6265444637341,3368917
2016-05-13,130.4217071533203,131.41799730143532,129.07785880205387,131.41799730143532,2846180
2016-05-16,131.07046508789062,131.55702116139713,129.58760463460496,130.63023691349494,4442240
2016-05-17,131.53387451171875,132.02043064921912,130.5839120477128,131.48753246490747,1736009
2016-05-18,131.58023071289062,132.20579891651133,130.30590206733797,132.20579891651133,2782932
2016-05-19,129.88880920410156,131.78871977744248,129.47175911278418,131.60336575259095,1489126
2016-05-20,129.2864227294922,130.2595491697561,128.84619448649426,130.0278530716746,4355684
2016-05-23,129.98150634765625,130.44489852714878,128.91570999146623,130.21320243740251,2035863
2016-05-24,129.541259765625,130.39853800453872,128.82300764582448,130.39853800453872,2073509
2016-05-25,130.2132110595703,130.4449071646585,128.68402242263136,129.93517290514288,2075737
2016-05-26,130.1436767578125,130.5375628791371,129.17055049971788,130.21318274590394,4619836
2016-05-27,130.35218811035156,131.83504844191106,129.84246812913193,130.79241624860947,4543846
2016-05-30,135.56536865234375,137.1409132852341,133.68863609004453,134.03618020466337,17863356
2016-05-31,135.03248596191406,136.8165487828314,133.41061324137246,136.19096647658665,7041001
2016-06-01,137.72018432617188,138.7859808597701,133.94352612137476,135.3337028912556,5843470
2016-06-02,142.42361450195312,143.41990503656697,137.48848974177926,137.99820991650526,9888554
2016-06-03,143.1649932861328,144.5319914802671,142.74792908770104,143.65154932883064,6459723
2016-06-06,141.70530700683594,142.9564714083813,140.87120683354266,142.77111738560563,5184081
2016-06-07,142.63206481933594,143.41983694709194,141.35773670429714,142.30769887501503,2708323
2016-06-08,142.168701171875,142.70161343969926,140.87120885224655,142.5162452726618,1673081
2016-06-09,145.04171752929688,145.69046359727332,141.51993497822005,142.1686810461965,2240051
2016-06-10,142.09922790527344,146.3856061354569,141.86753178472298,145.36615169000024,2251748
2016-06-13,142.9564666748047,143.86008695062293,141.1260621741903,141.33459428141146,2418196
2016-06-14,143.11866760253906,143.81375582388057,142.0991992212624,143.651565743913,2102212
2016-06-15,143.53570556640625,144.02226162354873,141.26508706373323,143.2576674730656,2353608
2016-06-16,142.51625061035156,143.41987096288298,141.56630235593133,143.21133883795844,1665463
2016-06-17,145.13442993164062,145.73683408201433,142.72478504693296,142.72478504693296,3608513
2016-06-20,144.74053955078125,145.134425702983,143.58205918642668,143.65156517996675,1683234
2016-06-21,145.04171752929688,145.96850166686428,144.36979337291905,145.04171752929688,1174461
2016-06-22,147.12701416015625,147.54406428535975,144.5783572219488,145.04174939253198,2935707
2016-06-23,147.150146484375,147.77572860852433,146.4782364664102,147.12698253746728,1565312
2016-06-24,144.69419860839844,145.50513486961444,141.58946555167185,142.84063001133327,3080388
2016-06-27,142.7711181640625,144.81004070892303,142.05285187718292,142.05285187718292,1728920
2016-06-28,145.1807861328125,145.62101442654517,143.6052553126053,143.9991415530594,2634505
2016-06-29,144.11495971679688,145.80633824849593,143.46621353031583,145.59782026441607,1902427
2016-06-30,145.04171752929688,145.69046359727332,144.36979337291905,145.50510959808057,3314387
2016-07-01,143.6979217529297,145.69050252445768,143.44304756203638,145.0417562831421,2225864
2016-07-04,147.3355255126953,147.82208156653886,144.34664077735692,144.81003288258117,2699220
2016-07-05,149.18911743164062,149.86102760508223,146.8953204928539,147.33554871879704,2816887
2016-07-07,146.22340393066406,150.99635210426527,145.82953187158705,150.53295990148501,3939302
2016-07-08,144.43931579589844,145.94534004342037,143.6515436097839,145.1807318044723,2294810
2016-07-11,148.7025604248047,149.4903328546805,145.8063590526263,145.96854915778997,2536047
2016-07-12,146.91845703125,148.911051510718,145.18073668720461,148.911051510718,3413443
2016-07-13,150.16221618652344,150.834140441137,147.01115531474875,147.82209155367957,3400480
2016-07-14,150.4402618408203,151.80727436878269,148.98057936586795,150.6024519250609,4310790
2016-07-15,147.7526092529297,150.6024685212408,146.8953308345641,150.4402784191271,2109207
2016-07-18,149.05007934570312,150.13905370553047,147.77575095777038,148.12329506357023,1986754
2016-07-19,147.79893493652344,150.00004769425797,147.35870672833394,149.1891114150926,1617036
2016-07-20,152.57186889648438,152.89624906558723,148.05379533007368,148.2391493660154,3246139
2016-07-21,154.47177124023438,155.6070734875619,151.39021636662295,152.91940475755624,6355171
2016-07-22,153.5913543701172,154.6571508013937,152.78041799887393,154.30960664228945,2004989
2016-07-25,154.6571044921875,154.9583065115669,152.8267001456759,153.3827762903792,1492185
2016-07-26,151.73776245117188,154.86565940754102,151.43654624579236,154.7729753225618,1692026
2016-07-27,150.85733032226562,153.29013945723497,150.02322998977652,151.64510274642276,1919050
2016-07-28,152.896240234375,154.37908657786664,151.11217769056887,151.13534164062122,3253199
2016-07-29,151.9926300048828,154.77298299277703,151.45973184385775,152.91941433418089,3182206
2016-08-01,151.27438354492188,153.61450840852962,150.95000336071953,152.59503995098552,1461407
2016-08-02,149.6988525390625,152.45604193278822,149.21229635975018,151.52925748334877,2335301
2016-08-03,151.13536071777344,152.2706772457576,149.25862799526055,150.0000583313967,1603751
2016-08-04,149.90736389160156,152.29383068937534,148.58669340612087,152.17798264927362,1808553
2016-08-05,152.641357421875,153.1047495294955,150.57927102792664,150.76462504265388,2101931
2016-08-08,153.82301330566406,154.07787330411173,151.89992477670498,152.91939305370485,2076712
