Date,Close,High,Low,Open,Volume
,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
2016-01-01,439.0146484375,441.9420633367666,434.7698908777226,438.86828364837754,3345654
2016-01-04,427.7928466796875,438.03879775786504,425.5972857343637,438.03879775786504,5862854
2016-01-05,425.8901062011719,429.2566155997701,423.109055982013,429.2566155997701,5579449
2016-01-06,420.2791748046875,428.67107297083123,419.5960994752564,428.67107297083123,5756267
2016-01-07,399.3481750488281,414.86346776928883,397.1526139153892,414.7171029829003,13787371
2016-01-08,403.6905212402344,408.6183243445286,400.08003100001605,403.4953483378211,11307470
2016-01-11,407.1058349609375,413.1558077523448,397.54292863252675,400.0800274453379,10352347
2016-01-12,396.2743835449219,410.47233320408816,391.29777250239255,409.6428930671328,13070476
2016-01-13,396.85986328125,401.4949365391931,382.9546435074207,400.08000752771903,15873927
2016-01-14,381.1494140625,392.2735843801256,379.34416897456174,385.24777692730765,11776737
2016-01-15,365.19500732421875,386.27240047632716,360.0720312695704,382.9546695586814,13178892
2016-01-18,364.1704406738281,374.0748555431097,357.87648646440783,363.24341400511474,14117119
2016-01-19,383.49139404296875,386.4188092646708,366.9027077866571,366.9027077866571,14215698
2016-01-20,378.22198486328125,383.88164136662397,365.5852995077114,376.2703750649972,15605644
2016-01-21,399.2506103515625,402.47078472358146,388.0776609534869,390.32200054493813,28200956
2016-01-22,413.8876647949219,417.3029821298922,404.56873940689866,409.2525912688907,15009103
2016-01-25,410.66754150390625,419.35220007551624,405.15424919232055,419.35220007551624,10252421
2016-01-27,405.3493347167969,416.18077466750054,401.6412881437493,413.8388489487757,8648945
2016-01-28,395.8352966308594,406.8131030011303,392.66393034611446,405.93488444734976,9370465
2016-01-29,398.5187072753906,399.88482815237035,383.7352692903564,386.4187327119673,13667701
2016-02-01,389.638916015625,400.421578895912,384.95506403035955,400.08004119758533,10700914
2016-02-02,381.442138671875,394.66431325391596,379.1977992593205,389.3461645087197,12131028
2016-02-03,371.34259033203125,380.56395972946615,369.9764692529462,377.6365446546241,10077279
2016-02-04,373.4893493652344,377.24620442638195,364.31678867435227,376.41676425248636,11472602
2016-02-05,389.88287353515625,395.2010226654224,374.9530690350335,375.39219319412155,11677917
2016-02-08,398.66510009765625,407.837690443814,391.297784642625,391.297784642625,11996680
2016-02-09,390.2243957519531,396.0792254850033,386.4187623813113,391.2977871588531,6550274
2016-02-10,384.0768737792969,388.3704100450592,376.02648211379,388.27282358418137,10922352
2016-02-11,368.0736083984375,387.15058167052183,364.26794558701084,383.3937269700527,8076824
2016-02-12,381.6372985839844,386.3699582581743,369.92763989940823,379.9784183586553,28434501
2016-02-15,407.5449523925781,409.838100098973,386.0772423873938,386.0772423873938,13964589
2016-02-16,395.9816589355469,412.27761442324856,395.2010268435874,410.61873400382785,12445006
2016-02-17,393.3470153808594,397.0550626004472,385.1990373865689,397.0550626004472,10197761
2016-02-18,388.419189453125,402.12926831594007,382.12526472850493,400.2752446709948,12069460
2016-02-19,383.00341796875,387.2969535137058,380.5639057523885,386.0284190728786,12915275
2016-02-22,387.54095458984375,389.1022485650053,381.5885380603436,385.44297976972314,10284642
2016-02-23,375.8312072753906,388.27271829369045,373.9771841383073,388.27271829369045,9955791
2016-02-24,377.29498291015625,381.53974045417004,368.1224222156922,375.6849106773797,11983475
2016-02-25,369.0494689941406,378.4171733251694,368.3176152320786,376.75832266535235,9491615
2016-02-26,377.0022277832031,380.85663925751714,372.90383530552015,375.684885216862,9588881
2016-02-29,366.65875244140625,382.1740469880754,364.951093581067,377.63655940072977,82022905
2016-03-01,382.5155029296875,383.6864806666628,370.9034311180193,370.9034311180193,12822550
2016-03-02,397.3965759277344,401.83647665072704,390.3219898614948,390.3219898614948,15332044
2016-03-03,407.05706787109375,408.8623131571037,397.25023909726593,401.39741053143706,14677533
2016-03-04,405.983642578125,408.0328389544168,399.3481807473943,408.0328389544168,8992492
2016-03-08,401.7876892089844,412.8142732610224,398.90905268730523,405.5445442321101,6921273
2016-03-09,406.7643127441406,408.0816554258163,397.64053020566655,399.1042376788163,8437253
2016-03-10,403.0074768066406,409.8381120067532,400.66555069387186,407.39859943528444,5631550
2016-03-11,402.812255859375,411.7408946296973,398.3723554203819,403.8368688847445,8348484
2016-03-14,405.3981628417969,412.0336243356394,403.10501534140036,407.4961374479969,6963673
2016-03-15,408.7159423828125,411.54577101128115,406.0324785528634,407.3985996377235,8188560
2016-03-16,414.3268127441406,416.0344715097542,401.05585866695975,408.86229873833605,8290044
2016-03-17,417.7908630371094,424.47513257487606,415.2049860014017,419.5961080625211,11080947
2016-03-18,425.54852294921875,427.0122302995743,418.7178886475594,419.54732876860135,6675930
2016-03-21,433.74530029296875,434.72110524300916,427.3049816668612,428.37837306774645,8910574
2016-03-22,430.5739440917969,436.77031162266985,423.7920876216154,436.1848226833614,8004834
2016-03-23,426.9147033691406,430.57397225516183,424.57277723792834,428.62236218261717,5018310
2016-03-28,412.6678466796875,427.98799405218017,409.64284582394185,427.25614044736426,9200929
2016-03-29,419.0594177246094,422.4259266938671,412.17997545149717,413.64368277183576,6674980
2016-03-30,433.5013427734375,434.9162718421734,421.64531875809695,422.8162668136546,9551121
2016-03-31,433.40374755859375,438.1364073578318,427.597726174937,432.9646532138414,12671936
2016-04-01,439.0146484375,441.06384482282743,429.4029635624006,430.2324037397003,8827751
2016-04-04,433.9892578125,440.6247196571421,431.40338061330294,440.5759413206155,5347581
2016-04-05,422.1332092285156,438.624306220683,420.5719154196093,432.671890325029,12100258
2016-04-06,414.3755798339844,425.74370192347834,412.8630940228964,422.8162869761818,7457831
2016-04-07,416.3271789550781,421.35256852787023,414.6195202803,417.40057036363663,5374072
2016-04-08,411.3993835449219,417.01026215293234,409.8868679656746,416.37599487482424,6881318
2016-04-11,419.4009704589844,421.4501668824344,407.3985810603843,413.6437270058283,6221772
2016-04-12,423.5481262207031,425.89008192177084,419.010639163491,420.0840305632798,5586212
2016-04-13,429.8421325683594,434.5259849843226,427.5002063603778,429.4030083759596,9091282
2016-04-18,434.4771423339844,435.2577743613648,426.8170677261016,434.18441276851746,6674315
